City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kinkala,-4.3614,14.7644,295.18,60,24,2.26,CG,1720127222
83,kapa'a,22.0752,-159.319,301.33,79,75,6.17,US,1720127223
84,klyuchi,52.2667,79.1667,288.42,93,96,1.43,RU,1720127225
85,jonquiere,48.4165,-71.2488,297.21,82,87,5.41,CA,1720127226
86,khandyga,62.6667,135.6,284.31,69,67,1.43,RU,1720127227
87,glace bay,46.1969,-59.957,293.76,84,87,3.13,CA,1720127228
88,portoferraio,42.8115,10.3146,296.77,79,0,5.58,IT,1720127230
89,luang namtha,20.9497,101.4011,295.69,100,100,0.44,LA,1720127231
90,albertina,-22.2008,-46.6158,293.4,44,49,2.12,BR,1720127232
91,tadine,-21.55,167.8833,294.81,69,31,6.02,NC,1720127233
92,kodiak,57.79,-152.4072,285.88,76,0,3.09,US,1720127234
93,mamuju,-2.6748,118.8885,298.03,88,100,1.36,ID,1720127237
94,haimen,23.1935,116.6142,299.8,92,0,1.19,CN,1720127238
95,san cristobal,7.7669,-72.225,303.89,54,73,2.25,VE,1720127239
96,karachi,24.9056,67.0822,304.05,74,75,4.63,PK,1720127240
97,windsor,42.3001,-83.0165,301.53,53,75,3.09,CA,1720126987
98,tindouf,27.6711,-8.1474,304.38,19,0,6.48,DZ,1720127243
99,bubaque,11.2833,-15.8333,300.43,82,100,7.31,GW,1720127244
100,gangneung,37.7556,128.8961,299.46,72,75,9.48,KR,1720127245
101,qaqortoq,60.7167,-46.0333,276.45,88,18,1.26,GL,1720127246
102,forrest city,35.0081,-90.7898,307.02,55,60,2.83,US,1720127248
103,codrington,-38.2667,141.9667,279.22,91,10,3.48,AU,1720127249
104,port macquarie,-31.4333,152.9167,284.86,95,73,2.24,AU,1720127250
105,wenatchee,47.4235,-120.3103,306.55,23,0,2.24,US,1720127251
106,bilibino,68.0546,166.4372,291.95,55,100,1.3,RU,1720127252
107,wailua homesteads,22.0669,-159.378,300.59,79,75,6.17,US,1720127254
108,puerto natales,-51.7236,-72.4875,276.4,70,40,3.6,CL,1720127255
109,sarmiento,-45.5882,-69.07,275.64,60,15,11.4,AR,1720127256
110,nemuro,43.3236,145.575,286.26,99,100,3.33,JP,1720127257
111,oyama,36.3,139.8,302.36,72,1,3.29,JP,1720127258
112,brokopondo,4.75,-55.1667,299.6,84,100,4.4,SR,1720127260
113,north bend,43.4065,-124.2243,306.44,49,0,9.26,US,1720127261
114,richlands,37.0932,-81.7937,301.2,92,100,0.97,US,1720127262
115,sinabang,2.4803,96.3801,300.45,77,99,3.43,ID,1720127263
116,daokou,35.5639,114.5058,297.26,90,100,2.56,CN,1720127264
117,zhangatas,43.5667,69.75,296.27,41,0,3.34,KZ,1720127266
118,iqaluit,63.7506,-68.5145,278.0,93,100,2.06,CA,1720127267
119,forster,-32.1667,152.5167,284.98,84,100,5.26,AU,1720127268
120,flying fish cove,-10.4217,105.6791,298.97,83,100,6.69,CX,1720127269
121,gereida,11.2811,25.1414,301.04,60,18,4.55,SD,1720127271
122,kidal,18.4411,1.4078,307.69,31,7,3.86,ML,1720127272
123,ilulissat,69.2167,-51.1,280.82,53,9,2.64,GL,1720127273
124,markovo,57.3206,107.0881,289.6,85,18,2.18,RU,1720127274
125,choyr,46.3611,108.3611,292.6,49,98,5.82,MN,1720127275
126,yugorsk,61.3133,63.3319,296.23,65,1,4.11,RU,1720127277
127,ust-nera,64.5667,143.2,287.18,68,34,2.21,RU,1720127279
128,badger,64.8,-147.5333,287.29,86,100,3.6,US,1720127280
129,san isidro,-12.1167,-77.05,297.99,77,75,3.6,PE,1720127281
130,anaconda,46.1285,-112.9423,294.7,24,84,4.12,US,1720127283
131,saurimo,-9.6608,20.3916,290.18,37,1,2.21,AO,1720127284
132,papatowai,-46.5619,169.4708,280.98,69,61,5.96,NZ,1720127285
